id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
19831,3988,354,Accurate Group,accurate-group,Ohio,OH,Cleveland,73.0323,89319663,79,3,Cleveland,Real Estate,6
26085,3989,725,CT in Home Assistance,ct-in-home-assistance,Connecticut,CT,Trumbull,73.0295,9002309,58,10,"Bridgeport-Stamford-Norwalk, CT",Health,3
751,3990,191,AgileThought,agilethought,Florida,FL,Tampa,73.0156,29035550,7,9,Tampa,Software,9
44362,3991,194,WorkWave,workwave,New Jersey,NJ,Neptune,72.9858,36500000,9,9,New York City,Software,1
7328,3992,336,Destination Concepts,destination-concepts,California,CA,San Diego,72.9659,20280518,11,17,San Diego,Business Products & Services,6
26099,3993,601,KMS Technology,kms-technology,Georgia,GA,Atlanta,72.9685,17863009,29,8,Atlanta,IT Services,3
19585,3999,121,JBL Resources,jbl-resources,Michigan,MI,Grand Rapids,72.878,11019118,219,21,"Grand Rapids-Wyoming, MI",Human Resources,6
20472,4000,200,D4,d4,New York,NY,Rochester,72.8597,24772072,71,17,"Rochester, NY",Business Products & Services,6
1186,4002,108,LaunchSquad,launchsquad,California,CA,San Francisco,72.7996,16221086,4,5,San Francisco,Advertising & Marketing,9
4075,4004,792,Garland Industries,garland-industries,Ohio,OH,Cleveland,72.785,460931813,79,15,Cleveland,Manufacturing,7
2121,4006,784,Total Hockey,total-hockey,Missouri,MO,Maryland Heights,72.666,62037069,74,18,"St. Louis, MO-IL",Retail,9
3334,4009,1168,Shawmut Design and Construction,shawmut-design-and-construction,Massachusetts,MA,Boston,72.6194,1174310103,6,20,Boston,Construction,10
1337,4016,470,The Nerdery,the-nerdery,Minnesota,MN,Minneapolis,72.3943,64798360,13,9,Minneapolis,Software,9
2647,4018,110,Exploring,exploring,Georgia,GA,Atlanta,72.312,26716567,29,17,Atlanta,Business Products & Services,5
44369,4019,220,ATHENA CONSULTING,athena-consulting,Maryland,MD,Gaithersburg,72.2807,8342428,3,17,"Washington, DC",Business Products & Services,1
22114,4022,189,Velociti,velociti,Missouri,MO,Riverside,72.2745,64472000,21,6,"Kansas City, MO-KS",Logistics & Transportation,3
25929,4024,300,Nature's Variety,natures-variety,Missouri,MO,St. Louis,72.0561,126678000,74,4,"St. Louis, MO-IL",Consumer Products & Services,3
37841,4030,750,Keeley Companies,keeley-companies,Missouri,MO,St. Louis,71.8187,228844023,74,20,"St. Louis, MO-IL",Construction,2
19024,4031,422,Stinson Leonard Street,stinson-leonard-street,Minnesota,MN,Minneapolis,71.8121,256000000,13,17,Minneapolis,Business Products & Services,4
26031,4034,135,Overture Promotions,overture-promotions,Illinois,IL,Vernon Hills,71.7328,42222989,17,5,Chicago,Advertising & Marketing,3
44372,4035,1232,VimHR,vimhr,Arizona,AZ,Phoenix,71.71,14555460,46,21,Phoenix,Human Resources,1
21833,4036,113,Dynamic Mobile Imaging,dynamic-mobile-imaging,Virginia,VA,Richmond,71.6209,10436583,40,10,"Richmond, VA",Health,4
38210,4037,126,john greene Realtor,john-greene-realtor,Illinois,IL,Naperville,71.585,12010236,17,3,Chicago,Real Estate,2
26408,4042,160,MKD Electric,mkd-electric,Illinois,IL,Elgin,71.4651,30311388,17,20,Chicago,Construction,2
5455,4044,313,Linx,linx,Colorado,CO,Denver,71.4238,60833911,30,14,Denver,Telecommunications,7
44375,4050,1293,InterSolutions,intersolutions,New Jersey,NJ,Cherry Hill,71.1847,11278922,49,17,Philadelphia,Business Products & Services,1
38159,4057,105,ST. ONGE COMPANY,st-onge-company,Pennsylvania,PA,York,70.9063,26686642,380,24,"York-Hanover, PA",Engineering,2
26554,4058,147,Paramount Software Solutions,paramount-software-solutions,Georgia,GA,Alpharetta,70.9053,20356699,29,8,Atlanta,IT Services,3
23612,4060,109,Clarity Partners,clarity-partners,Illinois,IL,Chicago,70.8524,15334000,17,8,Chicago,IT Services,4
44377,4062,139,Charter Contracting Company,charter-contracting-company,Massachusetts,MA,Boston,70.7757,67973706,6,20,Boston,Construction,1
24069,4064,30000,PrideStaff,pridestaff,California,CA,Fresno,70.6718,195063020,345,21,"Fresno, CA",Human Resources,2
23935,4070,27000,Infiniti HR,infiniti-hr,Maryland,MD,Burtonsville,70.3789,223673497,3,21,"Washington, DC",Human Resources,4
37918,4071,113,SCOUT,scout,Georgia,GA,Atlanta,70.3291,16604439,29,5,Atlanta,Advertising & Marketing,2
3042,4072,274,Cumberland Consulting Group,cumberland-consulting-group,Tennessee,TN,Franklin,70.3076,61851867,82,8,Nashville,IT Services,8
18173,4078,100,JMARK Business Solutions,jmark-business-solutions,Missouri,MO,Springfield,70.1578,14553400,102,8,"Springfield, MO",IT Services,7
37797,4082,100,Mark-it Express,mark-it-express,Illinois,IL,Bridgeview,69.9548,20808680,17,6,Chicago,Logistics & Transportation,2
17454,4085,215,Andromeda Systems,andromeda-systems,Virginia,VA,Virginia Beach,69.8664,31781566,15,24,"Virginia Beach-Norfolk-Newport News, VA-NC",Engineering,7
37991,4086,100,Skyline Security Management,skyline-security-management,California,CA,Downey,69.8577,23896023,2,13,Los Angeles,Security,2
5065,4088,371,XYMOGEN,xymogen,Florida,FL,Orlando,69.7455,78951749,68,10,"Orlando, FL",Health,9
37716,4096,120,Advanced Clinical,advanced-clinical,Illinois,IL,Deerfield,69.4097,67612771,17,10,Chicago,Health,2
44387,4101,1277,Oceans Healthcare,oceans-healthcare,Texas,TX,Plano,69.2795,77701000,8,10,Dallas,Health,1
19719,4102,415,Magnolia Bakery,magnolia-bakery,New York,NY,New York,69.2626,39953755,9,11,New York City,Food & Beverage,5
1585,4103,246,myMatrixx,mymatrixx,Florida,FL,Tampa,69.2475,123282816,7,10,Tampa,Health,8
19820,4104,108,KBA DOCUSYS,kba-docusys,California,CA,Union City,69.2407,26870930,4,17,San Francisco,Business Products & Services,6
18250,4107,101,Butler/Till Media & Communications,butlertill-media-communications,New York,NY,Rochester,69.2157,14705660,71,5,"Rochester, NY",Advertising & Marketing,6
21648,4108,2150,Great Lakes Caring Home Health and Hospice,great-lakes-caring-home-health-and-hospice,Michigan,MI,Jackson,69.2083,188866292,303,10,"Jackson, MI",Health,8
